dataset,backbone,event,method,n,accuracy,event_count,event_rate,auroc_error,aurc,augrc,partial_augrc_70_90,budget,top_k,total_event,top20_event_recall,top20_captured_event_count,top20_residual_event_count,top20_residual_event_rate
IDRiD_data,convnext_tiny,large_undergrading,severe_prob_mass,103,0.32038834951456313,12,0.11650485436893204,0.5155677655677655,0.11552083109122423,0.05665001413893865,0.10095202186822508,0.2,21,12,0.08333333333333333,1,11,0.10679611650485436
IDRiD_data,convnext_tiny,large_undergrading,gated_severe_prob_mass_only,103,0.32038834951456313,12,0.11650485436893204,0.6474358974358975,0.07201195312594137,0.043076633047412584,0.07088321236685834,0.2,21,12,0.4166666666666667,5,7,0.06796116504854369
IDRiD_data,convnext_tiny,vtdr_miss,confidence_only_1msp,103,0.32038834951456313,23,0.22330097087378642,0.6097826086956522,0.17252741293605992,0.09261004807239138,0.1471604298237346,0.2,21,23,0.391304347826087,9,14,0.13592233009708737
IDRiD_data,convnext_tiny,vtdr_miss,negative_margin,103,0.32038834951456313,23,0.22330097087378642,0.5625,0.18659581206813974,0.10081063248185505,0.17051559996229615,0.2,21,23,0.21739130434782608,5,18,0.17475728155339806
IDRiD_data,convnext_tiny,vtdr_miss,entropy,103,0.32038834951456313,23,0.22330097087378642,0.6385869565217391,0.16607136033031944,0.08761428975398246,0.12482090677726461,0.2,21,23,0.4782608695652174,11,12,0.11650485436893204
IDRiD_data,convnext_tiny,vtdr_miss,expected_gap,103,0.32038834951456313,23,0.22330097087378642,0.6603260869565217,0.13028731894803217,0.08384390611744746,0.16353803374493356,0.2,21,23,0.2608695652173913,6,17,0.1650485436893204
IDRiD_data,convnext_tiny,vtdr_miss,severe_prob_mass,103,0.32038834951456313,23,0.22330097087378642,0.7472826086956522,0.10036918885892997,0.06876237157130739,0.156374304835517,0.2,21,23,0.30434782608695654,7,16,0.1553398058252427
IDRiD_data,convnext_tiny,vtdr_miss,gated_severe_prob_mass_only,103,0.32038834951456313,23,0.22330097087378642,0.8961956521739131,0.05742017907759638,0.04293524366104251,0.08530257328683195,0.2,21,23,0.6956521739130435,16,7,0.06796116504854369
IDRiD_data,retfound_mae_cfp_official_like,general_error,confidence_only_1msp,103,0.3300970873786408,69,0.6699029126213593,0.5848252344416027,0.6223869040810831,0.31619379771891787,0.5091149024413234,0.2,21,69,0.2463768115942029,17,52,0.5048543689320388
IDRiD_data,retfound_mae_cfp_official_like,general_error,negative_margin,103,0.3300970873786408,69,0.6699029126213593,0.6018755328218244,0.6066418738616436,0.3124234140823829,0.5126991233858045,0.2,21,69,0.2463768115942029,17,52,0.5048543689320388
IDRiD_data,retfound_mae_cfp_official_like,general_error,entropy,103,0.3300970873786408,69,0.6699029126213593,0.5703324808184144,0.632767951485498,0.31939862380997264,0.5022127438966915,0.2,21,69,0.2608695652173913,18,51,0.49514563106796117
IDRiD_data,retfound_mae_cfp_official_like,general_error,expected_gap,103,0.3300970873786408,69,0.6699029126213593,0.45268542199488493,0.6975513274402523,0.3454142709020643,0.5403148270336506,0.2,21,69,0.2028985507246377,14,55,0.5339805825242718
IDRiD_data,retfound_mae_cfp_official_like,general_error,severe_prob_mass,103,0.3300970873786408,69,0.6699029126213593,0.4398976982097187,0.6910082180447067,0.3482420586294656,0.5300428881138656,0.2,21,69,0.2318840579710145,16,53,0.5145631067961165
IDRiD_data,retfound_mae_cfp_official_like,general_error,gated_severe_prob_mass_only,103,0.3300970873786408,69,0.6699029126213593,0.47357203751065646,0.6334416763377608,0.33966443585634837,0.5362640211141482,0.2,21,69,0.18840579710144928,13,56,0.5436893203883495
IDRiD_data,retfound_mae_cfp_official_like,large_undergrading,confidence_only_1msp,103,0.3300970873786408,12,0.11650485436893204,0.7051282051282052,0.06773537193777497,0.037138278819869926,0.0583466867753794,0.2,21,12,0.5,6,6,0.05825242718446602
IDRiD_data,retfound_mae_cfp_official_like,large_undergrading,negative_margin,103,0.3300970873786408,12,0.11650485436893204,0.7032967032967034,0.07427417110624611,0.037326798001696686,0.060703176548213784,0.2,21,12,0.5,6,6,0.05825242718446602
IDRiD_data,retfound_mae_cfp_official_like,large_undergrading,entropy,103,0.3300970873786408,12,0.11650485436893204,0.728021978021978,0.06325561315165122,0.03478178904703554,0.04807239136582147,0.2,21,12,0.6666666666666666,8,4,0.038834951456310676
IDRiD_data,retfound_mae_cfp_official_like,large_undergrading,expected_gap,103,0.3300970873786408,12,0.11650485436893204,0.5924908424908425,0.09673327763635368,0.0487322085022151,0.062326798001696666,0.2,21,12,0.5833333333333334,7,5,0.04854368932038835
IDRiD_data,retfound_mae_cfp_official_like,large_undergrading,severe_prob_mass,103,0.3300970873786408,12,0.11650485436893204,0.6025641025641025,0.08185792302528541,0.04769535300216798,0.08257140164011688,0.2,21,12,0.4166666666666667,5,7,0.06796116504854369
IDRiD_data,retfound_mae_cfp_official_like,large_undergrading,gated_severe_prob_mass_only,103,0.3300970873786408,12,0.11650485436893204,0.7124542124542125,0.05600241257649032,0.03638420209256292,0.06796116504854369,0.2,21,12,0.4166666666666667,5,7,0.06796116504854369
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,confidence_only_1msp,103,0.3300970873786408,25,0.24271844660194175,0.6733333333333333,0.15615662034830408,0.08949948157224998,0.14949571118861343,0.2,21,25,0.4,10,15,0.14563106796116504
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,negative_margin,103,0.3300970873786408,25,0.24271844660194175,0.6307692307692307,0.18580656176007038,0.09732302761806014,0.15385286077858423,0.2,21,25,0.4,10,15,0.14563106796116504
IDRiD_data,retfound_mae_cfp_official_like,vtdr_miss,entropy,103,0.3300970873786408,25,0.24271844660194175,0.7107692307692308,0.13257481319744555,0.08261853143557359,0.15279244038080877,0.2,21,25,0.4,10,15,0.14563106796116504
