target,target_role,evaluation_scope,backbone,ranking_method,review_budget,n_folds,mean_recall,std_recall,mean_precision,std_precision,mean_lift,std_lift,mean_captured,mean_total,mean_residual,total_captured,total_dangerous,total_residual
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,gated_severe_prob_mass_only,0.25,5,0.7242016806722689,0.1729974347250246,0.1846103896103896,0.045945631043386906,2.8871046600458365,0.6955079314378455,10.2,14.2,4.0,51,71,20
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,top2_more_severe_only,0.25,5,0.6945313510019393,0.14912479063663958,0.1774025974025974,0.04443760371634898,2.7684691778809425,0.5983374391319018,9.8,14.2,4.4,49,71,22
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,learned_logistic,0.25,5,0.6909114414996769,0.09586129984556611,0.17746753246753247,0.03895265061214176,2.7539895398718928,0.3868038243151471,9.8,14.2,4.4,49,71,22
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,ophagent_combined,0.25,5,0.6884809308338721,0.14514500434608274,0.17376623376623376,0.034267015759087686,2.744955044955045,0.5858723715836992,9.6,14.2,4.6,48,71,23
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,severe_prob_mass_only,0.25,5,0.5707563025210084,0.2562035902193181,0.1446103896103896,0.06011124925555603,2.2758135981665393,1.0269775039801998,8.0,14.2,6.2,40,71,31
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,margin_only,0.25,5,0.5492178409825469,0.11025292401254276,0.13759740259740258,0.019856225506062676,2.1898736557560086,0.44590579623931303,7.6,14.2,6.6,38,71,33
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,confidence_only,0.25,5,0.5328377504848094,0.15385627068255475,0.1338961038961039,0.03437390271788605,2.124995004995005,0.6194069845956786,7.4,14.2,6.8,37,71,34
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,expected_grade_only,0.25,5,0.5164576599870718,0.20185515714743274,0.1301948051948052,0.04576079577640004,2.0594746430040547,0.8099768195557127,7.2,14.2,7.0,36,71,35
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,uncertainty_rank_fusion,0.25,5,0.5067873303167421,0.15942602715862553,0.1266233766233766,0.0327197991879068,2.021266968325792,0.6420236189713963,7.0,14.2,7.2,35,71,36
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,entropy_only,0.25,5,0.43458306399482866,0.09401790196055002,0.10863636363636364,0.01763378612842801,1.7331374507845094,0.3806492761667634,6.0,14.2,8.2,30,71,41
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,expected_gap_only,0.25,5,0.3285197155785391,0.07720906352608617,0.08331168831168831,0.020600387101377442,1.3097396720926133,0.30951723750062254,4.6,14.2,9.6,23,71,48
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,gated_severe_prob_mass_only,0.3,5,0.8030252100840336,0.11472758128863263,0.1715686274509804,0.038698276007779815,2.6595747389865037,0.36899492323460165,11.4,14.2,2.8,57,71,14
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,top2_more_severe_only,0.3,5,0.7452100840336134,0.15570319723610673,0.15944741532976828,0.04250645504080818,2.467430608607079,0.50433639264714,10.6,14.2,3.6,53,71,18
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,ophagent_combined,0.3,5,0.7391596638655462,0.14869034937946596,0.15641711229946526,0.034987141580018755,2.448013750954927,0.48372546971265273,10.4,14.2,3.8,52,71,19
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,learned_logistic,0.3,5,0.7380607627666451,0.10672588389472448,0.15650623885918005,0.03046381795231328,2.4447376153258507,0.34576984080999323,10.4,14.2,3.8,52,71,19
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,margin_only,0.3,5,0.6424305106658048,0.16967264164776424,0.13529411764705884,0.03551891892994782,2.127116021233668,0.5532250662423323,9.0,14.2,5.2,45,71,26
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,uncertainty_rank_fusion,0.3,5,0.6178021978021978,0.14367842848136114,0.12932263814616757,0.025947158645353678,2.04612152553329,0.46968819126801215,8.6,14.2,5.6,43,71,28
dangerous_undergrading,secondary,per_backbone,vit_l_official_like,severe_prob_mass_only,0.3,5,0.6060504201680672,0.23319471571969122,0.12914438502673797,0.047884690573374876,2.0056022408963585,0.7624566666649941,8.6,14.2,5.6,43,71,28
