setting,scout,expert,budget,policy,event,event_total,selected_event_n,event_recall,event_precision_in_selected
C_green_scout_to_retfound_only,retfound_green_linear_probe,retfound_mae_cfp_official_protocol,0.5,high_entropy,referable_dr_miss_dr_specific,56,47,0.8392857142857143,0.08545454545454545
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.3,low_confidence,scout_error,205,136,0.6634146341463415,0.4121212121212121
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.3,low_confidence,expert_correctable_scout_error,83,71,0.8554216867469879,0.21515151515151515
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.3,low_confidence,severe_pdr_miss_dr_specific,65,47,0.7230769230769231,0.14242424242424243
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.3,low_confidence,large_undergrading_dr_specific,41,31,0.7560975609756098,0.09393939393939393
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.3,low_confidence,referable_dr_miss_dr_specific,77,57,0.7402597402597403,0.17272727272727273
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.3,low_margin,scout_error,205,134,0.6536585365853659,0.40606060606060607
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.3,low_margin,expert_correctable_scout_error,83,71,0.8554216867469879,0.21515151515151515
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.3,low_margin,severe_pdr_miss_dr_specific,65,46,0.7076923076923077,0.1393939393939394
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.3,low_margin,large_undergrading_dr_specific,41,31,0.7560975609756098,0.09393939393939393
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.3,low_margin,referable_dr_miss_dr_specific,77,53,0.6883116883116883,0.1606060606060606
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.3,high_entropy,scout_error,205,139,0.6780487804878049,0.4212121212121212
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.3,high_entropy,expert_correctable_scout_error,83,67,0.8072289156626506,0.20303030303030303
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.3,high_entropy,severe_pdr_miss_dr_specific,65,48,0.7384615384615385,0.14545454545454545
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.3,high_entropy,large_undergrading_dr_specific,41,32,0.7804878048780488,0.09696969696969697
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.3,high_entropy,referable_dr_miss_dr_specific,77,58,0.7532467532467533,0.17575757575757575
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.4,low_confidence,scout_error,205,173,0.8439024390243902,0.3931818181818182
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.4,low_confidence,expert_correctable_scout_error,83,81,0.9759036144578314,0.18409090909090908
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.4,low_confidence,severe_pdr_miss_dr_specific,65,56,0.8615384615384616,0.12727272727272726
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.4,low_confidence,large_undergrading_dr_specific,41,37,0.9024390243902439,0.08409090909090909
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.4,low_confidence,referable_dr_miss_dr_specific,77,68,0.8831168831168831,0.15454545454545454
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.4,low_margin,scout_error,205,169,0.824390243902439,0.3840909090909091
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.4,low_margin,expert_correctable_scout_error,83,81,0.9759036144578314,0.18409090909090908
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.4,low_margin,severe_pdr_miss_dr_specific,65,53,0.8153846153846154,0.12045454545454545
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.4,low_margin,large_undergrading_dr_specific,41,35,0.8536585365853658,0.07954545454545454
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.4,low_margin,referable_dr_miss_dr_specific,77,67,0.8701298701298701,0.15227272727272728
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.4,high_entropy,scout_error,205,170,0.8292682926829268,0.38636363636363635
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.4,high_entropy,expert_correctable_scout_error,83,79,0.9518072289156626,0.17954545454545454
D_convnext_scout_to_retfound_only,convnext_tiny,retfound_mae_cfp_official_protocol,0.4,high_entropy,severe_pdr_miss_dr_specific,65,57,0.8769230769230769,0.12954545454545455
